_id,facility_code,facility_name,facility_name_short,first_nation_name,facility_latitude,facility_type,treatment_spaces,open_hours,open_days,web_url,alert_active,alert_message,data_uploaded_timestamp
<p>Please note we are an adult Emergency Department and can only provide initial care for children," including infants. Any children seen in Emergency are usually referred to <a href=""""https://www.health.qld.gov.au/tpch"""">The Prince Charles Hospital </a>or <a href=""""https://www.childrens.health.qld.gov.au/qch/"""">Queensland Children’s Hospital</a> for further care.</p>",,,,,,,,,,,,
35,00223,Mareeba Hospital,Mareeba Hospital,,-16.9870148,Hospital,12,24 hours,365 days/year,https://www.cairns-hinterland.health.qld.gov.au/hospitals-and-health-centres/mareeba-hospital,false,,2025-10-31 20:19:00.000000 UTC
34,00070,Kingaroy Hospital,Kingaroy Hospital,,-26.5321581,Hospital,17,24 hours,365 days/year,https://www.darlingdowns.health.qld.gov.au/hospitals-and-health-centres/kingaroy-hospital,false,,2025-10-31 20:19:00.000000 UTC
23,00246,Mount Isa Hospital,Mount Isa Hospital,,-20.73065,Hospital,17,24 hours,365 days/year,https://www.northwest.health.qld.gov.au/our-facilities/mount-isa/,false,,2025-10-31 20:19:00.000000 UTC
16,00136,Gladstone Hospital,Gladstone Hospital,,-23.8505712,Hospital,18,24 hours,365 days/year,https://www.cq.health.qld.gov.au/hospitals-and-health-centres/gladstone-hospital,false,,2025-10-31 20:19:00.000000 UTC
12,00068,Gympie Hospital,Gympie Hospital,,-26.1843586,Hospital,25,24 hours,365 days/year,https://www.sunshinecoast.health.qld.gov.au/hospitals-and-health-centres/gympie-hospital,false,,2025-10-31 20:19:00.000000 UTC
14,00071,Maryborough Hospital,Maryborough Hospital,,-25.5229511,Hospital,25,24 hours,365 days/year,https://www.widebay.health.qld.gov.au/hospitals-and-health-centres/maryborough-hospital,false,,2025-10-31 20:19:00.000000 UTC
6,00028,Redland Hospital,Redland Hospital,,-27.5415365,Hospital,28,24 hours,365 days/year,https://www.metrosouth.health.qld.gov.au/hospital-and-health-centres/redland-hospital,false,,2025-10-31 20:19:00.000000 UTC
5,00022,Queen Elizabeth II Jubilee Hospital,Queen Elizabeth II Jubilee Hospital,QEII,-27.5591458,Hospital,28,24 hours,365 days/year,https://www.metrosouth.health.qld.gov.au/hospital-and-health-centres/qeii-jubilee-hospital,false,,2025-10-31 20:19:00.000000 UTC
17,00141,Rockhampton Hospital,Rockhampton Hospital,,-23.3796131,Hospital,30,24 hours,365 days/year,https://www.cq.health.qld.gov.au/hospitals-and-health-centres/rockhampton-hospital,false,,2025-10-31 20:19:00.000000 UTC
