Id,facility_code,data_uploaded_timestamp,waiting_count,median_wait_all,median_wait_high_acuity,data_status,data_delay_hours
35,43,2025-10-31 20:15:09.000000 UTC,0,-,-,Good,4
17,136,2025-10-31 20:15:09.000000 UTC,0,16,13,Good,4
22,15003,2025-10-31 20:15:09.000000 UTC,0,10,10,Good,4
21,15002,2025-10-31 20:15:09.000000 UTC,1,6,6,Good,4
8,15001,2025-10-31 20:15:09.000000 UTC,1,14,-,Good,4
16,71,2025-10-31 20:15:09.000000 UTC,1,12,10,Good,4
7,15000,2025-10-31 20:15:09.000000 UTC,1,12,12,Good,4
10,15005,2025-10-31 20:15:09.000000 UTC,2,19,-,Good,4
9,15004,2025-10-31 20:15:09.000000 UTC,2,-,-,Good,4
2,49,2025-10-31 20:15:09.000000 UTC,2,10,-,Good,4
23,15006,2025-10-31 20:15:09.000000 UTC,2,-,-,Good,4
12,22,2025-10-31 20:15:09.000000 UTC,3,7,-,Good,4
34,223,2025-10-31 20:15:09.000000 UTC,3,12,13,Good,4
33,70,2025-10-31 20:15:09.000000 UTC,3,-,-,Good,4
30,141,2025-10-31 20:15:09.000000 UTC,3,14,13,Good,4
18,246,2025-10-31 20:15:09.000000 UTC,3,16,22,Good,4
27,68,2025-10-31 20:15:09.000000 UTC,4,6,-,Good,4
29,104,2025-10-31 20:15:09.000000 UTC,4,32,-,Good,4
31,172,2025-10-31 20:15:09.000000 UTC,5,22,-,Good,4
26,30,2025-10-31 20:15:09.000000 UTC,5,17,-,Good,4
11,11,2025-10-31 20:15:09.000000 UTC,6,38,-,Good,4
5,15,2025-10-31 20:15:09.000000 UTC,6,24,-,Good,4
1,4,2025-10-31 20:15:09.000000 UTC,6,14,14,Good,4
14,32,2025-10-31 20:15:09.000000 UTC,6,9,-,Good,4
24,16,2025-10-31 20:15:09.000000 UTC,7,38,54,Good,4
6,202,2025-10-31 20:15:09.000000 UTC,7,9,9,Good,4
13,28,2025-10-31 20:15:09.000000 UTC,7,19,7,Good,4
25,29,2025-10-31 20:15:09.000000 UTC,8,11,12,Good,4
3,200,2025-10-31 20:15:09.000000 UTC,9,26,48,Good,4
20,936,2025-10-31 20:15:09.000000 UTC,11,15,11,Good,4
19,934,2025-10-31 20:15:09.000000 UTC,12,10,-,Good,4
15,62,2025-10-31 20:15:09.000000 UTC,12,21,-,Good,4
4,214,2025-10-31 20:15:09.000000 UTC,12,15,75,Good,4
28,69,2025-10-31 20:15:09.000000 UTC,12,13,-,Good,4
32,201,2025-10-31 20:15:09.000000 UTC,14,57,58,Good,4
