facility_code,facility_name,facility_name_short,first_nation_name,day_of_week,day_name,day_name_long,time_band,busyness_score,waiting_count,median_wait_all,median_wait_high_acuity,treatment_spaces,facility_type,open_hours,open_days,alert_active,alert_message,latitude,longitude
4,,,,5,Fri,Friday,17,9.7,6,14,14,,,,,,,,
4,,,,5,Fri,Friday,19,9.8,6,14,14,,,,,,,,
4,,,,5,Fri,Friday,9,5.7,6,14,14,,,,,,,,
4,,,,5,Fri,Friday,16,8.4,6,14,14,,,,,,,,
4,,,,5,Fri,Friday,10,5.5,6,14,14,,,,,,,,
4,,,,5,Fri,Friday,12,7.9,6,14,14,,,,,,,,
4,,,,5,Fri,Friday,5,1.5,6,14,14,,,,,,,,
4,,,,5,Fri,Friday,8,3.8,6,14,14,,,,,,,,
4,,,,5,Fri,Friday,13,8.9,6,14,14,,,,,,,,
4,,,,5,Fri,Friday,18,9.5,6,14,14,,,,,,,,
4,,,,5,Fri,Friday,21,8.5,6,14,14,,,,,,,,
4,,,,5,Fri,Friday,1,4.1,6,14,14,,,,,,,,
4,,,,5,Fri,Friday,14,10.8,6,14,14,,,,,,,,
4,,,,5,Fri,Friday,3,2.2,6,14,14,,,,,,,,
4,,,,5,Fri,Friday,6,1.5,6,14,14,,,,,,,,
4,,,,5,Fri,Friday,20,9.3,6,14,14,,,,,,,,
4,,,,5,Fri,Friday,4,1.9,6,14,14,,,,,,,,
4,,,,5,Fri,Friday,2,3.6,6,14,14,,,,,,,,
4,,,,5,Fri,Friday,23,6.6,6,14,14,,,,,,,,
4,,,,5,Fri,Friday,0,5.5,6,14,14,,,,,,,,
4,,,,5,Fri,Friday,7,3.0,6,14,14,,,,,,,,
4,,,,5,Fri,Friday,11,6.0,6,14,14,,,,,,,,
4,,,,5,Fri,Friday,15,9.0,6,14,14,,,,,,,,
4,,,,5,Fri,Friday,22,8.4,6,14,14,,,,,,,,
11,,,,5,Fri,Friday,8,2.0,6,38,-,,,,,,,,
11,,,,5,Fri,Friday,4,1.4,6,38,-,,,,,,,,
11,,,,5,Fri,Friday,18,5.9,6,38,-,,,,,,,,
11,,,,5,Fri,Friday,14,5.2,6,38,-,,,,,,,,
11,,,,5,Fri,Friday,0,1.7,6,38,-,,,,,,,,
11,,,,5,Fri,Friday,2,1.3,6,38,-,,,,,,,,
11,,,,5,Fri,Friday,7,1.1,6,38,-,,,,,,,,
11,,,,5,Fri,Friday,21,4.3,6,38,-,,,,,,,,
11,,,,5,Fri,Friday,20,4.8,6,38,-,,,,,,,,
11,,,,5,Fri,Friday,11,4.9,6,38,-,,,,,,,,
11,,,,5,Fri,Friday,12,6.5,6,38,-,,,,,,,,
11,,,,5,Fri,Friday,5,1.2,6,38,-,,,,,,,,
11,,,,5,Fri,Friday,13,5.8,6,38,-,,,,,,,,
11,,,,5,Fri,Friday,1,1.9,6,38,-,,,,,,,,
11,,,,5,Fri,Friday,10,4.7,6,38,-,,,,,,,,
11,,,,5,Fri,Friday,22,3.7,6,38,-,,,,,,,,
11,,,,5,Fri,Friday,15,5.6,6,38,-,,,,,,,,
11,,,,5,Fri,Friday,6,0.8,6,38,-,,,,,,,,
11,,,,5,Fri,Friday,3,1.3,6,38,-,,,,,,,,
11,,,,5,Fri,Friday,19,5.4,6,38,-,,,,,,,,
11,,,,5,Fri,Friday,9,3.2,6,38,-,,,,,,,,
11,,,,5,Fri,Friday,17,5.5,6,38,-,,,,,,,,
11,,,,5,Fri,Friday,23,3.9,6,38,-,,,,,,,,
11,,,,5,Fri,Friday,16,5.1,6,38,-,,,,,,,,
