facility_code,facility_name,facility_name_short,first_nation_name,latitude,longitude,treatment_spaces,facility_type,day_name,time_band,busyness_score,wait_time_minutes,high_acuity_wait_minutes,alert_active,alert_message
00201,Royal Brisbane and Women's Hospital,Royal Brisbane and Women's Hospital,RBWH,-27.4498674,153.0274185,65,Hospital,,,,,,false,Our services
00011,Princess Alexandra Hospital,Princess Alexandra Hospital,PAH,-27.4991376,153.0339603,35,Hospital,,,,,,false,We don't treat
00022,Queen Elizabeth II Jubilee Hospital,Queen Elizabeth II Jubilee Hospital,QEII,-27.5591458,153.0489899,28,Hospital,,,,,,false,
00936,Gold Coast University Hospital,Gold Coast University Hospital,GCUH,-27.9595647,153.3795908,104,Hospital,,,,,,false,
00200,Townsville University Hospital,Townsville University Hospital,TUH,-19.3206881,146.7623348,95,Hospital,,,,,,false,
00202,Queensland Children's Hospital,Queensland Children's Hospital,QCH,-27.483973,153.024381,45,Hospital,,,,,,false,
00004,The Prince Charles Hospital,The Prince Charles Hospital,TPCH,-27.390155,153.0226361,67,Hospital,,,,,,false,
00032,Sunshine Coast University Hospital,Sunshine Coast University Hospital,SCUH,-26.7456257,153.1140154,87,Hospital,,,,,,false,
00028,Redland Hospital,Redland Hospital,,-27.5415365,153.251235,28,Hospital,,,,,,false,
00104,Toowoomba Hospital,Toowoomba Hospital,,-27.5698678,151.9455379,70,Hospital,,,,,,false,
00062,Bundaberg Hospital,Bundaberg Hospital,,-24.8696298,152.3356452,37,Hospital,,,,,,false,
00141,Rockhampton Hospital,Rockhampton Hospital,,-23.3796131,150.4923087,30,Hospital,,,,,,false,
00934,Robina Hospital,Robina Hospital,,-28.0718506,153.3767771,58,Hospital,,,,,,false,
" including infants. Any children seen in Emergency are usually referred to <a href=""""https://www.health.qld.gov.au/tpch"""">The Prince Charles Hospital </a>or <a href=""""https://www.childrens.health.qld.gov.au/qch/"""">Queensland Children’s Hospital</a> for further care.</p>",,,,,,,,,,,,,,
00029,Logan Hospital,Logan Hospital,,-27.6700261,153.1418031,52,Hospital,,,,,,false,
00070,Kingaroy Hospital,Kingaroy Hospital,,-26.5321581,151.8387651,17,Hospital,,,,,,false,
00071,Maryborough Hospital,Maryborough Hospital,,-25.5229511,152.6914147,25,Hospital,,,,,,false,
00015,Ipswich Hospital,Ipswich Hospital,,-27.6190823,152.7582612,81,Hospital,,,,,,false,
00136,Gladstone Hospital,Gladstone Hospital,,-23.8505712,151.246406,18,Hospital,,,,,,false,
00214,Cairns Hospital,Cairns Hospital,,-16.9124244,145.7683647,46,Hospital,,,,,,false,
00049,Nambour Hospital,Nambour Hospital,,-26.62002,152.9565403,47,Hospital,,,,,,false,
00016,Redcliffe Hospital,Redcliffe Hospital,,-27.2285251,153.104844,63,Hospital,,,,,,false,
00068,Gympie Hospital,Gympie Hospital,,-26.1843586,152.6590211,25,Hospital,,,,,,false,
00069,Hervey Bay Hospital,Hervey Bay Hospital,,-25.2992353,152.8221345,46,Hospital,,,,,,false,
00030,Caboolture Hospital,Caboolture Hospital,,-27.0801444,152.9637094,57,Hospital,,,,,,false,
00172,Mackay Base Hospital,Mackay Base Hospital,,-21.1463997,149.1533094,50,Hospital,,,,,,false,
00246,Mount Isa Hospital,Mount Isa Hospital,,-20.73065,139.4909605,17,Hospital,,,,,,false,
00223,Mareeba Hospital,Mareeba Hospital,,-16.9870148,145.4245024,12,Hospital,,,,,,false,
00043,Caloundra Health Service,Caloundra Health Service,,-26.8002842,153.1195179,10,MIIC,,,,,,false,Caloundra Health Service is for urgent (but not life threatening) conditions
15000,Tugun Satellite Health Centre (Banyahrmabah),Tugun Satellite Health Centre,Banyahrmabah,-28.1543864,153.4917939,8,MIIC,Fri,14,1.1,12.0,12.0,false,
15000,Tugun Satellite Health Centre (Banyahrmabah),Tugun Satellite Health Centre,Banyahrmabah,-28.1543864,153.4917939,8,MIIC,Fri,0,0.0,12.0,12.0,false,
15000,Tugun Satellite Health Centre (Banyahrmabah),Tugun Satellite Health Centre,Banyahrmabah,-28.1543864,153.4917939,8,MIIC,Fri,1,0.0,12.0,12.0,false,
15000,Tugun Satellite Health Centre (Banyahrmabah),Tugun Satellite Health Centre,Banyahrmabah,-28.1543864,153.4917939,8,MIIC,Fri,7,0.0,12.0,12.0,false,
15000,Tugun Satellite Health Centre (Banyahrmabah),Tugun Satellite Health Centre,Banyahrmabah,-28.1543864,153.4917939,8,MIIC,Fri,15,1.1,12.0,12.0,false,
15000,Tugun Satellite Health Centre (Banyahrmabah),Tugun Satellite Health Centre,Banyahrmabah,-28.1543864,153.4917939,8,MIIC,Fri,18,1.7,12.0,12.0,false,
15000,Tugun Satellite Health Centre (Banyahrmabah),Tugun Satellite Health Centre,Banyahrmabah,-28.1543864,153.4917939,8,MIIC,Fri,17,1.4,12.0,12.0,false,
15000,Tugun Satellite Health Centre (Banyahrmabah),Tugun Satellite Health Centre,Banyahrmabah,-28.1543864,153.4917939,8,MIIC,Fri,2,0.0,12.0,12.0,false,
15000,Tugun Satellite Health Centre (Banyahrmabah),Tugun Satellite Health Centre,Banyahrmabah,-28.1543864,153.4917939,8,MIIC,Fri,23,0.0,12.0,12.0,false,
15000,Tugun Satellite Health Centre (Banyahrmabah),Tugun Satellite Health Centre,Banyahrmabah,-28.1543864,153.4917939,8,MIIC,Fri,10,0.8,12.0,12.0,false,
15000,Tugun Satellite Health Centre (Banyahrmabah),Tugun Satellite Health Centre,Banyahrmabah,-28.1543864,153.4917939,8,MIIC,Fri,3,0.0,12.0,12.0,false,
15000,Tugun Satellite Health Centre (Banyahrmabah),Tugun Satellite Health Centre,Banyahrmabah,-28.1543864,153.4917939,8,MIIC,Fri,6,0.0,12.0,12.0,false,
15000,Tugun Satellite Health Centre (Banyahrmabah),Tugun Satellite Health Centre,Banyahrmabah,-28.1543864,153.4917939,8,MIIC,Fri,11,0.6,12.0,12.0,false,
15000,Tugun Satellite Health Centre (Banyahrmabah),Tugun Satellite Health Centre,Banyahrmabah,-28.1543864,153.4917939,8,MIIC,Fri,19,1.2,12.0,12.0,false,
15000,Tugun Satellite Health Centre (Banyahrmabah),Tugun Satellite Health Centre,Banyahrmabah,-28.1543864,153.4917939,8,MIIC,Fri,21,0.3,12.0,12.0,false,
15000,Tugun Satellite Health Centre (Banyahrmabah),Tugun Satellite Health Centre,Banyahrmabah,-28.1543864,153.4917939,8,MIIC,Fri,5,0.0,12.0,12.0,false,
15000,Tugun Satellite Health Centre (Banyahrmabah),Tugun Satellite Health Centre,Banyahrmabah,-28.1543864,153.4917939,8,MIIC,Fri,22,0.0,12.0,12.0,false,
15000,Tugun Satellite Health Centre (Banyahrmabah),Tugun Satellite Health Centre,Banyahrmabah,-28.1543864,153.4917939,8,MIIC,Fri,12,0.3,12.0,12.0,false,
15000,Tugun Satellite Health Centre (Banyahrmabah),Tugun Satellite Health Centre,Banyahrmabah,-28.1543864,153.4917939,8,MIIC,Fri,9,0.6,12.0,12.0,false,
15000,Tugun Satellite Health Centre (Banyahrmabah),Tugun Satellite Health Centre,Banyahrmabah,-28.1543864,153.4917939,8,MIIC,Fri,13,1.0,12.0,12.0,false,
15000,Tugun Satellite Health Centre (Banyahrmabah),Tugun Satellite Health Centre,Banyahrmabah,-28.1543864,153.4917939,8,MIIC,Fri,8,0.7,12.0,12.0,false,
